id|name|city_id
885|Sukasari|67
886|Arahan|68
887|Pamulihan|67
888|Cimanggung|67
889|Cisitu|67
890|Jatinangor|67
891|Tanjungsari|67
892|Rancakalong|67
893|Ganeas|67
894|Cisarua|67
895|Tanjungmedar|67
896|Tanjungkerta|67
897|Cimalaka|67
898|Sumedang Utara|67
899|Sumedang Selatan|67
900|Balongan|68
901|Krangkeng|68
902|Karangampel|68
903|Kedokan Bunder|68
904|Juntinyuat|68
905|Sliyeg|68
906|Kertasemaya|68
907|Sukagumiwang|68
908|Jatibarang|68
909|Bangodua|68
910|Tukdana|68
911|Widasari|68
912|Kroya|68
913|Haurgeulis|68
914|Gantar|68
915|Gabuswetan|68
916|Trisi/Terisi|68
917|Cikedung|68
918|Lelea|68
919|Cantigi|68
920|Sukra|68
921|Patrol|68
922|Anjatan|68
923|Bongas|68
924|Kandanghaur|68
925|Losarang|68
926|Lohbener|68
927|Pasekan|68
928|Sindang|68
929|Indramayu|68
930|Pabedilan|64
931|Losari|64
932|Babakan|64
933|Gebang|64
934|Sedong|64
935|Ciledug|64
936|Pabuaran|64
937|Waled|64
938|Pasaleman|64
939|Karangwareng|64
940|Karangsembung|64
941|Susukan Lebak|64
942|Lemahabang|64
943|Pangenan|64
944|Astanajapura|64
945|Greged (Greget)|64
946|Mundu|64
947|Beber|64
948|Talun (Cirebon Selatan)|64
949|Ciwaringin|64
950|Susukan|64
951|Kaliwedi|64
952|Gegesik|64
953|Panguragan|64
954|Arjawinangun|64
955|Gempol|64
956|Palimanan|64
957|Klangenan|64
958|Jamblang|64
959|Depok|64
960|Plumbon|64
961|Plered|64
962|Kedawung|64
963|Tengah Tani|64
964|Suranenggala|64
965|Kapetakan|64
966|Gunung Jati (Cirebon Utara)|64
967|Harjamukti|482
968|Kesambi|482
969|Kejaksan|482
970|Pekalipan|482
971|Lemahwungkuk|482
972|Cibiuk|69
973|Leuwigoong|69
974|Banyuresmi|69
975|Malangbong|69
976|Selaawi|69
977|Blubur Limbangan|69
978|Cibatu|69
979|Kersamanah|69
980|Sukawening|69
981|Karangtengah|69
982|Wanaraja|69
983|Pangatikan|69
984|Karangpawitan|69
985|Cilawu|69
986|Peundeuy|69
987|Cikelet|69
988|Cibalong|69
989|Pameungpeuk|69
990|Cisompet|69
991|Singajaya|69
992|Cihurip|69
993|Banjarwangi|69
994|Cikajang|69
995|Pamulihan|69
996|Talegong|69
997|Caringin|69
998|Cisewu|69
999|Bungbulang|69
1000|Mekarmukti|69
1001|Pakenjeng|69
1002|Cisurupan|69
1003|Sukaresmi|69
1004|Bayongbong|69
1005|Samarang|69
1006|Pasirwangi|69
1007|Kadungora|69
1008|Leles|69
1009|Tarogong Kidul|69
1010|Tarogong Kaler|69
1011|Garut Kota|69
1012|Cigedug|69
1013|Sucinaraja|69
1014|Kabandungan|70
1015|Cikidang|70
1016|Cisolok|70
1017|Cikakak|70
1018|Pelabuhan/Palabuhan Ratu|70
1019|Bantargadung|70
1020|Warung Kiara|70
1021|Simpenan|70
1022|Cicurug|70
1023|Cidahu|70
1024|Parung Kuda|70
1025|Nagrak|70
1026|Ciambar|70
1027|Parakan Salak|70
1028|Kalapa Nunggal|70
1029|Bojong Genteng|70
1030|Cibadak|70
1031|Mande|71
1032|Cikalongkulon|71
1033|Cilaku|71
1034|Sukaluyu|71
1035|Cikadu|71
1036|Cijati|71
1037|Haurwangi|71
1038|Bojongpicung|71
1039|Ciranjang|71
1040|Karangtengah|71
1041|Pacet|71
1042|Cidaun|71
1043|Naringgul|71
1044|Agrabinta|71
1045|Leles|71
1046|Sindangbarang|71
1047|Cibinong|71
1048|Campaka Mulya|71
1049|Kadupandak|71
1050|Tanggeung|71
1051|Pasirkuda|71
1052|Pagelaran|71
1053|Takokak|71
1054|Sukanagara|71
1055|Campaka|71
1056|Cibeber|71
1057|Warungkondang|71
1058|Gekbrong|71
1059|Sukaresmi|71
1060|Cipanas|71
1061|Cugenang|71
1062|Cianjur|71
1063|Geger Bitung|70
1064|Nyalindung|70
1065|Kebonpedes|479
1066|Cireunghas|479
1067|Sukaraja|479
1068|Sukalarang|479
1069|Purabaya|70
1070|Tegal Buleud|70
1071|Kali Bunder|70
1072|Cidolog|70
1073|Cidadap|70
1074|Curugkembar|70
1075|Sagaranten|70
1076|Surade|70
1077|Jampang Kulon|70
1078|Cimanggu|70
1079|Ciemas|70
1080|Ciracap|70
1081|Waluran|70
1082|Lengkong|70
1083|Pabuaran|70
1084|Cibitung|70
1085|Jampang Tengah|70
1086|Lembursitu|479
1087|Baros|479
1088|Cibeureum|479
1089|Cikembar|70
1090|Gunung Guruh|479
1091|Cicantayan|70
1092|Caringin|70
1093|Kadudampit|479
1094|Cisaat|479
1095|Sukabumi|479
1096|Citamiang|479
1097|Warudoyong|479
1098|Gunung Puyuh|479
1099|Cikole|479
1100|Tempuran|72
1101|Cilebar|72
1102|Cilamaya Wetan|72
1103|Cilamaya Kulon|72
1104|Lemahabang|72
1105|Rawamerta|72
1106|Talagasari|72
1107|Jatisari|72
1108|Kotabaru|72
1109|Banyusari|72
1110|Purwasari|72
1111|Cikampek|72
1112|Tirtamulya|72
1113|Karawang Timur|72
1114|Klari|72
1115|Majalaya|72
1116|Ciampel|72
1117|Pangkalan|72
1118|Tegalwaru|72
1119|Telukjambe Barat|72
1120|Telukjambe Timur|72
1121|Kutawaluya|72
